STATION_CODE,DATETIME,global_radiation,precipitation,relative_humidity,snow_level,temperature,wind_direction,wind_gust,wind_speed,UNIQUE_IDENTIFIER
T0009,2024-01-24T04:30:00+01,,0.0,,,1.4,,,,114_daily_weather
T0009,2024-01-24T04:45:00+01,,0.0,,,1.9,,,,115_daily_weather
T0009,2024-01-24T05:00:00+01,,0.0,,,1.8,,,,116_daily_weather
T0009,2024-01-24T05:15:00+01,,0.0,,,1.6,,,,117_daily_weather
T0009,2024-01-24T05:30:00+01,,0.0,,,1.8,,,,118_daily_weather
T0009,2024-01-24T05:45:00+01,,0.0,,,1.5,,,,119_daily_weather
T0009,2024-01-24T06:00:00+01,,0.0,,,1.5,,,,120_daily_weather
T0009,2024-01-24T06:15:00+01,,0.0,,,1.4,,,,121_daily_weather
T0009,2024-01-24T06:30:00+01,,0.0,,,1.7,,,,122_daily_weather
T0009,2024-01-24T06:45:00+01,,0.0,,,1.8,,,,123_daily_weather
T0009,2024-01-24T07:00:00+01,,0.0,,,1.7,,,,124_daily_weather
T0009,2024-01-24T07:15:00+01,,0.0,,,1.6,,,,125_daily_weather
T0009,2024-01-24T07:30:00+01,,0.0,,,1.3,,,,126_daily_weather
T0009,2024-01-24T07:45:00+01,,0.0,,,1.4,,,,127_daily_weather
T0009,2024-01-24T08:00:00+01,,0.0,,,1.8,,,,128_daily_weather
T0009,2024-01-24T08:15:00+01,,0.0,,,1.5,,,,129_daily_weather
T0009,2024-01-24T08:30:00+01,,0.0,,,2.0,,,,130_daily_weather
T0009,2024-01-24T08:45:00+01,,0.0,,,2.0,,,,131_daily_weather
T0009,2024-01-24T09:00:00+01,,0.0,,,2.1,,,,132_daily_weather
T0009,2024-01-24T09:15:00+01,,0.0,,,2.2,,,,133_daily_weather
T0009,2024-01-24T09:30:00+01,,0.0,,,1.9,,,,134_daily_weather
T0009,2024-01-24T09:45:00+01,,0.0,,,2.7,,,,135_daily_weather
T0009,2024-01-24T10:00:00+01,,0.0,,,3.5,,,,136_daily_weather
T0009,2024-01-24T10:15:00+01,,0.0,,,5.1,,,,137_daily_weather
T0009,2024-01-24T10:30:00+01,,0.0,,,5.0,,,,138_daily_weather
T0009,2024-01-24T10:45:00+01,,0.0,,,4.3,,,,139_daily_weather
T0010,2024-01-23T00:00:00+01,0.0,0.0,66.0,,-0.2,49.0,0.8,0.3,140_daily_weather
T0010,2024-01-23T00:15:00+01,0.0,0.0,68.0,,-0.5,58.0,1.2,0.6,141_daily_weather
T0010,2024-01-23T00:30:00+01,0.0,0.0,70.0,,-0.9,35.0,0.9,0.4,142_daily_weather
T0010,2024-01-23T00:45:00+01,0.0,0.0,70.0,,-0.9,207.0,0.8,0.2,143_daily_weather
T0010,2024-01-23T01:00:00+01,0.0,0.0,71.0,,-1.0,268.0,0.8,0.5,144_daily_weather
T0010,2024-01-23T01:15:00+01,0.0,0.0,72.0,,-1.2,268.0,2.4,1.1,145_daily_weather
T0010,2024-01-23T01:30:00+01,0.0,0.0,70.0,,-0.7,252.0,2.3,1.0,146_daily_weather
T0010,2024-01-23T01:45:00+01,0.0,0.0,68.0,,-0.8,81.0,1.7,0.8,147_daily_weather
T0010,2024-01-23T02:00:00+01,0.0,0.0,72.0,,-1.5,33.0,1.5,0.8,148_daily_weather
T0010,2024-01-23T02:15:00+01,0.0,0.0,74.0,,-1.5,36.0,1.2,0.5,149_daily_weather
T0010,2024-01-23T02:30:00+01,0.0,0.0,73.0,,-1.7,49.0,1.0,0.5,150_daily_weather
T0010,2024-01-23T02:45:00+01,0.0,0.0,73.0,,-1.5,23.0,0.9,0.5,151_daily_weather
T0010,2024-01-23T03:00:00+01,0.0,0.0,74.0,,-1.8,318.0,0.8,0.5,152_daily_weather
T0010,2024-01-23T03:15:00+01,0.0,0.0,74.0,,-2.0,45.0,1.5,0.7,153_daily_weather
T0010,2024-01-23T03:30:00+01,0.0,0.0,75.0,,-2.2,1.0,1.0,0.5,154_daily_weather
T0010,2024-01-23T03:45:00+01,0.0,0.0,75.0,,-2.2,27.0,0.8,0.1,155_daily_weather
T0010,2024-01-23T04:00:00+01,0.0,0.0,75.0,,-2.3,8.0,1.4,0.8,156_daily_weather
T0010,2024-01-23T04:15:00+01,0.0,0.0,76.0,,-2.3,15.0,0.6,0.3,157_daily_weather
T0010,2024-01-23T04:30:00+01,0.0,0.0,76.0,,-2.5,352.0,0.5,0.3,158_daily_weather
T0010,2024-01-23T04:45:00+01,0.0,0.0,76.0,,-2.3,16.0,1.1,0.5,159_daily_weather
T0010,2024-01-23T05:00:00+01,0.0,0.0,75.0,,-2.4,293.0,1.5,0.7,160_daily_weather
T0010,2024-01-23T05:15:00+01,0.0,0.0,77.0,,-2.7,319.0,1.3,0.4,161_daily_weather
T0010,2024-01-23T05:30:00+01,0.0,0.0,78.0,,-2.6,307.0,1.3,0.8,162_daily_weather
T0010,2024-01-23T05:45:00+01,0.0,0.0,76.0,,-2.6,33.0,0.9,0.5,163_daily_weather
T0010,2024-01-23T06:00:00+01,0.0,0.0,77.0,,-2.7,2.0,1.2,0.9,164_daily_weather
T0010,2024-01-23T06:15:00+01,0.0,0.0,76.0,,-2.5,246.0,1.3,0.3,165_daily_weather
T0010,2024-01-23T06:30:00+01,0.0,0.0,76.0,,-2.7,290.0,1.6,0.8,166_daily_weather
T0010,2024-01-23T06:45:00+01,0.0,0.0,77.0,,-2.8,277.0,1.4,0.3,167_daily_weather
T0010,2024-01-23T07:00:00+01,0.0,0.0,77.0,,-2.9,56.0,0.5,0.1,168_daily_weather
T0010,2024-01-23T07:15:00+01,0.0,0.0,79.0,,-3.2,16.0,0.8,0.3,169_daily_weather
T0010,2024-01-23T07:30:00+01,0.0,0.0,79.0,,-3.2,42.0,0.8,0.4,170_daily_weather
T0010,2024-01-23T07:45:00+01,0.0,0.0,79.0,,-3.1,317.0,1.2,0.5,171_daily_weather
T0010,2024-01-23T08:00:00+01,0.0,0.0,79.0,,-3.1,346.0,0.9,0.5,172_daily_weather
T0010,2024-01-23T08:15:00+01,0.0,0.0,80.0,,-3.0,337.0,0.8,0.3,173_daily_weather
T0010,2024-01-23T08:30:00+01,0.0,0.0,80.0,,-3.1,10.0,0.9,0.4,174_daily_weather
T0010,2024-01-23T08:45:00+01,10.0,0.0,78.0,,-3.0,300.0,0.9,0.5,175_daily_weather
T0010,2024-01-23T09:00:00+01,18.0,0.0,79.0,,-2.9,252.0,1.4,0.7,176_daily_weather
T0010,2024-01-23T09:15:00+01,20.0,0.0,80.0,,-2.8,283.0,1.5,0.4,177_daily_weather
T0010,2024-01-23T09:30:00+01,22.0,0.0,81.0,,-2.8,305.0,1.4,0.6,178_daily_weather
T0010,2024-01-23T09:45:00+01,24.0,0.0,80.0,,-2.7,202.0,1.3,0.5,179_daily_weather
T0010,2024-01-23T10:00:00+01,27.0,0.0,80.0,,-2.4,275.0,1.1,0.5,180_daily_weather
T0010,2024-01-23T10:15:00+01,33.0,0.0,79.0,,-2.0,95.0,0.8,0.3,181_daily_weather
T0010,2024-01-23T10:30:00+01,131.0,0.0,77.0,,-1.4,213.0,1.0,0.6,182_daily_weather
T0010,2024-01-23T10:45:00+01,142.0,0.0,72.0,,-0.1,177.0,1.7,0.6,183_daily_weather
T0010,2024-01-23T11:00:00+01,235.0,0.0,70.0,,0.9,212.0,1.3,0.8,184_daily_weather
