SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT1168A_7_UV-P_1998-01-30_00:00:00,20231026000000,20231026000000,O3,26.872,Âµg/m3,background,suburban,62.0,IT1168A,S.Giovanni al Natisone,1490939.0096,5776076.8441,Via Madonna de Taviele - San Giovanni al Natisone (UD),True
SPO.IT1166A_7_UV-P_1998-01-30_00:00:00,20231026000000,20231026000000,O3,12.40048,Âµg/m3,background,urban,316.0,IT1166A,Tolmezzo,1448390.2512,5844996.6602,Via Divisione Osoppo c/o IPSIA - Tolmezzo (UD),True
SPO.IT1097A_7_UV-P_2017-06-08_00:00:00,20231026000000,20231026000000,O3,21.185,Âµg/m3,background,urban,21.0,IT1097A,Brugnera,1395535.6456,5764122.6601,via Donatori di Sangue - Brugnera (PN),True
SPO.IT1090A_7_UV-P_2013-11-20_00:00:00,20231026000000,20231026000000,O3,40.024,Âµg/m3,background,suburban,50.0,IT1090A,Via Carpineto,1534817.4793,5720148.0795,via del Carpineto - Trieste (TS),True
SPO.IT1076A_7_UV-P_1996-08-01_00:00:00,20231026000000,20231026000000,O3,68.3413,Âµg/m3,background,suburban,141.0,IT1076A,PA - Boccadifalco,1480793.9078,4596467.9531,"Palermo, Via Luigi Sarullo c/o ASP 6 âCasa del Soleâ",True
SPO.IT1071A_7_UV-P_2010-06-10_00:00:00,20231026000000,20231026000000,O3,29.84211,Âµg/m3,background,suburban,16.0,IT1071A,PI-SANTA-CROCE-COOP,1199096.4854,5421143.7872,VIA DEL CONCILIO - Santa Croce sull'Arno (PI),True
SPO.IT1065A_7_UV-P_1996-06-02_00:00:00,20231026000000,20231026000000,O3,14.45,Âµg/m3,background,urban,114.0,IT1065A,BASSANO DEL GRAPPA,1306519.7941,5742105.027,VIA MUHLACKER,True
SPO.IT1048A_7_UV-P_1996-04-01_00:00:00,20231026000000,20231026000000,O3,22.31579,Âµg/m3,background,urban,29.0,IT1048A,PARCO RESISTENZA,1341276.1881,5499421.662,"VIALE SPAZZOLI,15 - ForlÃ¬ (FC)",True
SPO.IT0977A_7_UV-P_1994-10-02_00:00:00,20231026000000,20231026000000,O3,71.8145,Âµg/m3,background,rural-remote,1640.0,IT0977A,LA THUILE,776762.9165,5737054.2363,LOC. LES GRANGES - LA THUILE (AO) - La Thuile (AO),True
SPO.IT0966A_7_UV-P_1994-07-02_00:00:00,20231026000000,20231026000000,O3,26.5435,Âµg/m3,background,urban,100.0,IT0966A,V.Cairoli,1473931.9517,5790949.8911,VIA CAIROLI - Udine (UD),True
