SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT0463A_1_UV-FL_1997-09-02_00:00:00,20231026000000,20231026000000,SO2,5.092857,Âµg/m3,industrial,suburban,90.0,IT0463A,FALCONARA ALTA,1490567.9817,5406909.509,VIA 8 MARZO - Falconara Marittima (AN),True
SPO.IT0462A_1_UV-FL_1990-05-08_00:00:00,20231026000000,20231026000000,SO2,5.83125,Âµg/m3,industrial,suburban,5.0,IT0462A,FALCONARA ACQUEDOTTO,1488403.9308,5409300.9771,VIA FIUMESINO - Falconara Marittima (AN),True
SPO.IT1999A_1_UV-FL_2015-01-01_00:00:00,20231026000000,20231026000000,SO2,0.67,Âµg/m3,industrial,urban,30.0,IT1999A,MULTEDO VILLA CHIESA - GENOVA,982994.5183,5531823.3138,VIALE VILLA CHIESA - GENOVA (GE),True
SPO.IT1997A_1_UV-FL_2009-01-01_00:00:00,20231026000000,20231026000000,SO2,3.169975,Âµg/m3,background,suburban,28.0,IT1997A,Milazzo - Termica,1697523.3829,4606387.4339,"Milazzo, Via Carrubbaro n.2-18",True
SPO.IT1996A_1_UV-FL_2010-04-30_00:00:00,20231026000000,20231026000000,SO2,1.179347,Âµg/m3,background,rural-nearcity,532.0,IT1996A,CENMA1,976612.1266,4903270.279,via Caria - Macomer (NU),True
SPO.IT1993A_1_UV-FL_2010-05-24_00:00:00,20231026000000,20231026000000,SO2,0.6668267,Âµg/m3,background,urban,15.0,IT1993A,CENMO1,1017058.1712,4759063.003,via Sant'Angelo - Monserrato (CA),True
SPO.IT1889A_1_UV-FL_2008-04-18_00:00:00,20231026000000,20231026000000,SO2,26.54842,Âµg/m3,background,urban,101.0,IT1889A,Termini Imerese,1523739.7428,4576305.8478,"Termini Imerese, Via Vito Jevolella n.2",True
SPO.IT1888A_1_UV-FL_2008-04-18_00:00:00,20231026000000,20231026000000,SO2,4.025872,Âµg/m3,background,urban,187.0,IT1888A,Partinico,1460354.7587,4586514.4466,"Partinico, Piazza Vittorio Emanuele n.51",True
SPO.IT1883A_1_UV-FL_2007-01-01_00:00:00,20231026000000,20231026000000,SO2,0.0,Âµg/m3,background,urban,55.0,IT1883A,VARALDO - SAVONA,944592.6336,5514378.3892,VIA AMENDOLA 10 - SAVONA (SV),True
SPO.IT1880A_1_UV-FL_2007-12-01_00:00:00,20231026000000,20231026000000,SO2,1.0,Âµg/m3,traffic,urban,11.0,IT1880A,PD - Arcella,1323651.0844,5690000.3618,Via Guido Reni,True
SPO.IT1856A_1_UV-FL_2013-01-01_00:00:00,20231026000000,20231026000000,SO2,3.0,Âµg/m3,background,urban,673.0,IT1856A,AQ - Amiternum,1489795.4245,5215687.4077,Via Amiternum - L'Aquila (AQ),True
SPO.IT1848A_1_UV-FL_2007-01-15_00:00:00,20231026000000,20231026000000,SO2,3.0,Âµg/m3,background,rural,824.0,IT1848A,BOSCOCHIESANUOVA,1228720.0491,5714888.1134,Loc. Zambelli,True
SPO.IT1794A_1_UV-FL_2005-01-18_00:00:00,20231026000000,20231026000000,SO2,7.289939,Âµg/m3,background,urban,10.0,IT1794A,Pace del Mela,1704308.5285,4608504.8168,"Pace del Mela, Frazione Giammoro, c.da Gabbia c/o Scuola ",True
