SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT1557A_6001_BETA_2014-01-01_00:00:00,20231026000000,20231026000000,PM2.5,4.0,Âµg/m3,background,urban,13.0,IT1557A,LI-CAPPIELLO,1149002.7146,5391459.0789,PIAZZA CAPPIELLO - Livorno (LI),True
SPO.IT1553A_6001_BETA_2013-02-20_00:00:00,20231026000000,20231026000000,PM2.5,7.0,Âµg/m3,background,rural,48.0,IT1553A,PT-MONTALE,1225286.956,5452469.1772,VIA PACINOTTI - Montale (PT),True
SPO.IT1504A_6001_BETA_2016-03-10_22:00:00,20231026000000,20231026000000,PM2.5,4.728571,Âµg/m3,traffic,urban,35.0,IT1504A,SA22 Ospedale via Vernieri,1644157.7096,4965826.729,Via Pio XI - Salerno (SA),True
SPO.IT1493A_6001_BETA_2016-03-09_17:00:00,20231026000000,20231026000000,PM2.5,7.57,Âµg/m3,traffic,suburban,33.0,IT1493A,NA09 I.T.I.S. ARGINE,1596441.723,4992342.0865,"VIA ARGINE, 902 - Napoli (NA)",True
SPO.IT1423A_6001_BETA_2011-09-24_00:00:00,20231026000000,20231026000000,PM2.5,0.0,Âµg/m3,background,urban,4.0,IT1423A,PE - TEATRO D'ANNUNZIO,1584601.782,5229591.5237,LUNGOMARE C. COLOMBO 120 - Pescara (PE),True
SPO.IT1409A_6001_BETA_2015-05-12_00:00:00,20231026000000,20231026000000,PM2.5,6.0,Âµg/m3,traffic,urban,5.0,IT1409A,PI-BORGHETTO,1158898.2381,5421272.2319,PIAZZA DEL ROSSO - Pisa (PI),True
SPO.IT1388A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,20.28105,Âµg/m3,background,suburban,113.0,IT1388A,PONTI SUL MINCIO,1190221.3164,5686431.8123,piazza Paolini 21 - Ponti sul Mincio (MN),True
SPO.IT1286A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,8.577619,Âµg/m3,traffic,urban,80.0,IT1286A,LODI Vignati,1055927.2638,5669709.9787,via vignati - Lodi (LO),True
SPO.IT1187A_6001_BETA_2014-01-09_00:00:00,20231026000000,20231026000000,PM2.5,5.714286,Âµg/m3,background,urban,10.0,IT1187A,LU-CAPANNORI,1177079.9392,5440843.672,VIA PIAGGIA - Capannori (LU),True
SPO.IT1186A_6001_BETA_2014-01-01_00:00:00,20231026000000,20231026000000,PM2.5,6.0,Âµg/m3,background,urban,3.0,IT1186A,LU-VIAREGGIO,1140468.1832,5447491.2855,VIA MARONCELLI - Viareggio (LU),True
SPO.IT1110A_6001_BETA_2010-01-01_00:00:00,20231026000000,20231026000000,PM2.5,4.0,Âµg/m3,background,urban,5.0,IT1110A,PI-PASSI,1157908.2738,5425123.17,PIAZZA I. NIEVO - Pisa (PI),True
SPO.IT0983A_6001_OPC-CMC_2020-01-01_00:00:00,20231026000000,20231026000000,PM2.5,7.990476,Âµg/m3,background,urban,581.0,IT0983A,AOSTA (PIAZZA PLOUVES),815322.8749,5738116.3825,P.ZA PLOUVES - AOSTA - Aosta (AO),True
SPO.IT0908A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,5.8,Âµg/m3,background,urban,1225.0,IT0908A,BORMIO,1154661.4183,5856034.5535,VIA MONTE BRAULIO - Bormio (SO),True
SPO.IT0898A_6001_BETA_2016-08-09_20:00:00,20231026000000,20231026000000,PM2.5,7.92,Âµg/m3,traffic,urban,46.0,IT0898A,NA06 MUSEO NAZIONALE,1586450.7987,4990858.453,"PIAZZA MUSEO NAZIONALE,1 - Napoli (NA)",True
SPO.IT0771A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,6.661905,Âµg/m3,traffic,urban,201.0,IT0771A,COMO - VIALE CATTANEO,1011182.8398,5749065.7846,VIALE CATTANEO - Como (CO),True
SPO.IT0594A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,10.00196,Âµg/m3,traffic,urban,149.0,IT0594A,BRESCIA - BROLETTO,1138087.0593,5707069.7689,P.ZZA M.DI BELFIORE - Brescia (BS),True
SPO.IT0591A_6001_nephelometry_beta_2011-03-03_00:00:00,20231026000000,20231026000000,PM2.5,5.38381,Âµg/m3,background,urban,200.0,IT0591A,ROVERETO LGP,1228901.4999,5763129.3768,via Manzoni - Rovereto (TN),True
SPO.IT2226A_6001_BETA_2015-05-01_00:00:00,20231026000000,20231026000000,PM2.5,5.845,Âµg/m3,industrial,suburban,29.0,IT2226A,Pomigliano d'Arco Area ASI,1601827.36,5000677.0038,Via vicinale Passatiello - Pomigliano d'Arco (NA),True
SPO.IT2223A_6001_LIGHT-SCAT_2019-05-03_00:00:00,20231026000000,20231026000000,PM2.5,4.965238,Âµg/m3,industrial,suburban,20.0,IT2223A,Tirrenopower Volla,1597432.4665,4995600.102,via Filichito - Volla (NA),True
SPO.IT2162A_6001_BETA_2017-10-12_00:00:00,20231026000000,20231026000000,PM2.5,0.0,Âµg/m3,background,urban,228.0,IT2162A,Gammarana,1527983.5758,5261204.4236,Via Gammarana - Teramo (TE),True
SPO.IT2161A_6001_BETA_2016-01-01_00:00:00,20231026000000,20231026000000,PM2.5,0.0,Âµg/m3,background,suburban,803.0,IT2161A,Castel di Sangro,1570006.6835,5127997.6705,Via  Sangro - Castel di Sangro (AQ),True
SPO.IT2116A_6001_BETA_2018-01-01_00:00:00,20231026000000,20231026000000,PM2.5,10.15,Âµg/m3,traffic,rural,211.0,IT2116A,Cigliano-Autostrada,895387.1922,5668051.7256,ex casello Cigliano autostrada TO-MI Strada Provinciale 2,True
SPO.IT1977A_6001_BETA_2014-01-01_00:00:00,20231026000000,20231026000000,PM2.5,0.0,Âµg/m3,traffic,urban,5.0,IT1977A,MONTESILVANO,1574984.8912,5238816.431,C.so Umberto - Montesilvano (PE),True
SPO.IT1967A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,9.6,Âµg/m3,background,urban,290.0,IT1967A,SONDRIO - VIA PARIBELLI,1099867.7385,5807410.3835,Via Paribelli - Sondrio (SO),True
SPO.IT1965A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,0.0,Âµg/m3,background,urban,76.0,IT1965A,LODI S.ALBERTO,1057010.3902,5669315.6893,via vittime della violenza - Lodi (LO),True
