SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT1392A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,22.0,Âµg/m3,background,rural,14.0,IT1392A,BORGOFRANCO,11.204439999786324,45.0513900001322,localit? Bonizzo - Borgofranco sul Po (MN),True
SPO.IT1388A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,32.17842,Âµg/m3,background,suburban,113.0,IT1388A,PONTI SUL MINCIO,10.691940000069765,45.41083000029478,piazza Paolini 21 - Ponti sul Mincio (MN),True
SPO.IT1294A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,20.7,Âµg/m3,background,urban,146.0,IT1294A,TURBIGO,8.736669999740661,45.52583000015019,"Vicolo dello Sport, 17 - Turbigo (MI)",True
SPO.IT1287A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,40.37429,Âµg/m3,traffic,urban,58.0,IT1287A,CODOGNO,9.698332999967649,45.1586110001391,Via Trento - Codogno (LO),True
SPO.IT1286A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,32.93619,Âµg/m3,traffic,urban,80.0,IT1286A,LODI Vignati,9.485555999900459,45.30527800013927,via vignati - Lodi (LO),True
SPO.IT1277A_5_BETA_2005-01-01_00:00:00,20231026000000,20231026000000,PM10,19.6581,Âµg/m3,background,urban,39.0,IT1277A,CENSN1,9.69443999976695,40.57500000010204,VIA NAPOLI - Siniscola (NU),True
SPO.IT1190A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,8.9,Âµg/m3,background,urban,262.0,IT1190A,MORBEGNO,9.566389999731724,46.131669999725915,VIA CORTIVACCI - Morbegno (SO),True
SPO.IT1187A_5_BETA_1998-08-01_00:00:00,20231026000000,20231026000000,PM10,11.28571,Âµg/m3,background,urban,10.0,IT1187A,LU-CAPANNORI,10.573889000138369,43.840832999878444,VIA PIAGGIA - Capannori (LU),True
SPO.IT1186A_5_BETA_1998-08-01_00:00:00,20231026000000,20231026000000,PM10,28.0,Âµg/m3,background,urban,3.0,IT1186A,LU-VIAREGGIO,10.245000000205826,43.88388900004837,VIA MARONCELLI - Viareggio (LU),True
SPO.IT1110A_5_BETA_2010-01-01_00:00:00,20231026000000,20231026000000,PM10,13.0,Âµg/m3,background,urban,5.0,IT1110A,PI-PASSI,10.401666999629917,43.73888900009769,PIAZZA I. NIEVO - Pisa (PI),True
SPO.IT1001A_5_BETA_2006-02-03_00:00:00,20231026000000,20231026000000,PM10,12.0,Âµg/m3,traffic,urban,15.0,IT1001A,LU-MICHELETTO,10.512219999938319,43.84389000001542,VIA ELISA - PIAZZA S. MICHELETTO - Lucca (LU),True
SPO.IT0997A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,19.01543,Âµg/m3,traffic,urban,249.0,IT0997A,BERGAMO - VIA GARIBALDI,9.661667000411652,45.695687000114454,"VIA G.GARIBALDI , 11/13 - Bergamo (BG)",True
SPO.IT0983A_5_OPC-CMC_2020-01-01_00:00:00,20231026000000,20231026000000,PM10,13.32857,Âµg/m3,background,urban,581.0,IT0983A,AOSTA (PIAZZA PLOUVES),7.324170000149386,45.73583000025993,P.ZA PLOUVES - AOSTA - Aosta (AO),True
SPO.IT0908A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,6.7,Âµg/m3,background,urban,1225.0,IT0908A,BORMIO,10.37250000042014,46.47027800024745,VIA MONTE BRAULIO - Bormio (SO),True
SPO.IT0906A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,16.50018,Âµg/m3,traffic,urban,307.0,IT0906A,SONDRIO - VIA MAZZINI,9.870556000301015,46.167221999868474,VIA MAZZINI - Sondrio (SO),True
SPO.IT0898A_5_BETA_2016-08-09_20:00:00,20231026000000,20231026000000,PM10,17.905,Âµg/m3,traffic,urban,46.0,IT0898A,NA06 MUSEO NAZIONALE,14.25132999975832,40.85419000021267,"PIAZZA MUSEO NAZIONALE,1 - Napoli (NA)",True
SPO.IT0860A_5_BETA_1992-12-23_00:00:00,20231026000000,20231026000000,PM10,27.0,Âµg/m3,traffic,urban,41.0,IT0860A,FI-MOSSE,11.231389999994027,43.78582999969785,"VIA PONTE ALLE MOSSE, 211 - Firenze (FI)",True
SPO.IT0852A_5_BETA_2019-01-01_00:00:00,20231026000000,20231026000000,PM10,21.3,Âµg/m3,traffic,urban,20.0,IT0852A,MULTEDO - PEGLI - GENOVA,8.825980000434635,44.425500000111455,VIA RONCHI - GENOVA (GE),True
SPO.IT0846A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,26.0,Âµg/m3,industrial,suburban,147.0,IT0846A,REZZATO,10.313055999618083,45.50472200012565,VIA A.DE GASPARI - Rezzato (BS),True
SPO.IT0771A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,13.105,Âµg/m3,traffic,urban,201.0,IT0771A,COMO - VIALE CATTANEO,9.083610000317215,45.80443999973337,VIALE CATTANEO - Como (CO),True
SPO.IT0753A_5_nephelometry_beta_2002-03-23_00:00:00,20231026000000,20231026000000,PM10,18.15952,Âµg/m3,background,suburban,73.0,IT0753A,RIVA GAR,10.84448999988549,45.8914699999259,VIA TRENTO - Riva del Garda (TN),True
SPO.IT0742A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,18.6,Âµg/m3,background,suburban,345.0,IT0742A,ODOLO,10.385830000309879,45.63943999977801,VIA PRAES - Odolo (BS),True
SPO.IT0740A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,19.56706,Âµg/m3,industrial,urban,274.0,IT0740A,SAREZZO,10.200830000280735,45.654999999686844,VIA MINELLI - Sarezzo (BS),True
SPO.IT0594A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,28.1484,Âµg/m3,traffic,urban,149.0,IT0594A,BRESCIA - BROLETTO,10.223610000278303,45.54082999986585,P.ZZA M.DI BELFIORE - Brescia (BS),True
SPO.IT2226A_5_BETA_2015-05-01_00:00:00,20231026000000,20231026000000,PM10,13.7765,Âµg/m3,industrial,suburban,29.0,IT2226A,Pomigliano d'Arco Area ASI,14.38946000008823,40.92086999979742,Via vicinale Passatiello - Pomigliano d'Arco (NA),True
SPO.IT2161A_5_BETA_2016-01-01_00:00:00,20231026000000,20231026000000,PM10,0.0,Âµg/m3,background,suburban,803.0,IT2161A,Castel di Sangro,14.1036099995785,41.779440000106796,Via  Sangro - Castel di Sangro (AQ),True
SPO.IT2116A_5_BETA_2018-01-01_00:00:00,20231026000000,20231026000000,PM10,17.35,Âµg/m3,traffic,rural,211.0,IT2116A,Cigliano-Autostrada,8.043399999581236,45.29480000000744,ex casello Cigliano autostrada TO-MI Strada Provinciale 2,True
SPO.IT2115A_5_BETA_2013-10-04_00:00:00,20231026000000,20231026000000,PM10,14.98857,Âµg/m3,background,suburban,0.0,IT2115A,Morsano,12.92589999959778,45.85692999995868,via dietro chiesa - Morsano al Tagliamento (PN),True
SPO.IT2032A_5_BETA_2011-09-02_00:00:00,20231026000000,20231026000000,PM10,11.0,Âµg/m3,background,urban,105.0,IT2032A,SI-POGGIBONSI,11.14193999955797,43.47278000012287,VIA DE AMICIS - Poggibonsi (SI),True
SPO.IT1977A_5_BETA_2009-06-15_00:00:00,20231026000000,20231026000000,PM10,0.0,Âµg/m3,traffic,urban,5.0,IT1977A,MONTESILVANO,14.148330000222813,42.51750000015406,C.so Umberto - Montesilvano (PE),True
SPO.IT1967A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,14.0,Âµg/m3,background,urban,290.0,IT1967A,SONDRIO - VIA PARIBELLI,9.88028000004523,46.168609999771135,Via Paribelli - Sondrio (SO),True
SPO.IT1965A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,24.7,Âµg/m3,background,urban,76.0,IT1965A,LODI S.ALBERTO,9.495285889897993,45.30278678006378,via vittime della violenza - Lodi (LO),True
SPO.IT1964A_5_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM10,21.7,Âµg/m3,background,rural,63.0,IT1964A,BERTONICO,9.666939999738338,45.234999999888835,Via Aldo Moro - Bertonico (LO),True
